Target;Galaxy;HV;Diam;rho;EWLya;LyaVel;Lya;EWOVIa;OVIaVel;OVIa
Mrk876         ;NGC6135                   ;3644;14.1; 690.0;    ;    ;UL   ;    ;    ;H2
PG1259+593     ;NGC4814                   ;2513;35.0; 694.0;    ;    ;UL   ;    ;    ;UL
Mrk335         ;UGC12893                  ;1108; 6.0; 697.0;  57;1308;Lya  ;    ;    ;H2
Mrk501         ;UGC10625                  ;2048;11.7; 700.0;    ;    ;UL   ;    ;    ;OI
1H0419-577     ;                          ;1266;    ; 700.0;    ;    ;     ;    ;    ;CII
TonS210        ;NGC45                     ; 468; 6.3; 702.0;    ;    ;Lya  ;    ;    ;UL
3C351.0        ;UGC10745                  ;3059;13.1; 710.0;    ;    ;UL   ;    ;    ;Lylim
PKS2155-304    ;MCG-5-52-1                ;2540; 6.2; 718.0;    ;    ;UL   ;    ;    ;UL
PG1116+215     ;UGC6363                   ;6306;30.0; 711.0;    ;    ;UL   ;    ;    ;UL
PKS2155-304    ;ESO466-G43                ;2608;14.8; 719.0;    ;    ;UL   ;    ;    ;UL
Mrk290         ;NGC5981                   ;1764;22.5; 725.0;    ;    ;     ;    ;    ;H2
HS0624+6907    ;UGC3580                   ;1201;18.0; 729.0;    ;    ;UL   ;    ;    ;CII
PG1001+291     ;UGC5272                   ; 520; 6.5; 731.0;    ;    ;Lya  ;    ;    ;UL
Mrk290         ;NGC5907                   ; 667;49.1; 734.0;    ;    ;     ;    ;    ;UL
PKS0558-504    ;NGC2101                   ;1192; 9.0; 734.0;    ;    ;     ;    ;    ;CII
Fairall9       ;NGC484                    ;5200;39.1; 735.0;    ;    ;UL   ;    ;    ;UL
Mrk1383        ;IC1011                    ;7500;14.1; 735.0;  65;7077;Lya  ;    ;    ;UL
VIIZw118       ;UGC3642                   ;4498;28.2; 738.0;    ;    ;UL   ;    ;    ;UL
IRAS09149-6206 ;ESO091-G02                ;3045;    ; 740.0;    ;    ;     ;    ;    ;UL
IRAS09149-6206 ;IRAS09106-6258            ;2997;    ; 741.0;    ;    ;     ;    ;    ;UL
PKS2155-304    ;2dFGRSS408Z175            ;2679; 6.7; 741.0;    ;    ;UL   ;    ;    ;UL
PG1216+069     ;NGC4247                   ;3838;18.8; 742.0;    ;    ;Lya  ;    ;    ;UL
Mrk477         ;NGC5687                   ;2119;23.1; 743.0;    ;    ;     ;    ;    ;OI
Mrk477         ;KUG1437+524               ;2181; 9.6; 743.0;    ;    ;     ;    ;    ;OI
3C263          ;UGC6390                   ;1008;10.3; 747.0;    ;    ;     ;    ;    ;UL
Mrk478         ;UGC9562                   ;1253; 6.4; 748.0;    ;    ;UL   ;    ;    ;CII
PG1011-040     ;MCG-1-26-12               ; 662;10.4; 750.0;    ;    ;     ;    ;    ;UL
Mrk110         ;UGC4913                   ;2371;13.7; 751.0;    ;    ;UL   ;    ;    ;
VIIZw118       ;UGC3748                   ;2479;12.2; 753.0; 333;2438;Lya  ;    ;    ;H2
PG0953+414     ;NGC3184                   ; 593;23.4; 758.0;    ;    ;Lya  ;    ;    ;OVI
HE1228+0131    ;MCG0-32-15                ;6948;26.2; 756.0;    ;    ;UL   ;    ;    ;UL
Mrk477         ;SBS1436+529B              ;3389;10.0; 761.0;    ;    ;     ;    ;    ;flaw
ESO141-G55     ;IC4824                    ; 953; 9.7; 769.0;    ;    ;     ;    ;    ;H2
3C273.0        ;UGC7625                   ;2234; 9.6; 771.0;  20;2160;Lya  ;    ;    ;OI
Mrk106         ;CGCG265-14                ;3334;13.1; 772.0;    ;    ;     ;    ;    ;flaw
TonS180        ;ESO541-G05                ;1958; 8.3; 774.0;  54;1939;Lya  ;    ;    ;OVI
TonS180        ;ESO474-G45                ;1863; 7.2; 777.0;    ;    ;UL   ;    ;    ;UL
PG1302-102     ;MCG-2-33-97               ;2705;14.9; 782.0;    ;    ;UL   ;    ;    ;UL
PKS2005-489    ;2MASXJ200943.13-481105.2  ;5116;16.6; 787.0; 330;5071;Lya  ;    ;    ;H2
PHL1811        ;SDSSJ215446.45-084616.9   ;5498;12.0; 787.0;  35;5402;Lya  ;    ;    ;H2
ESO141-G55     ;ESO141-G42                ; 935;10.6; 790.0;    ;    ;     ;    ;    ;H2
Mrk876         ;UGC10376                  ;3246;19.3; 799.0;    ;    ;UL   ;    ;    ;CII*
